OCCASION,SIZE,Type,Theme,Icing,Flavour,Colour,Topping,PRICE,Collection Date,Cost
Birthday - 1,15cm,Square,Princess,Fondant,Vanilla,Pink,Baby Elephant,200.00,2023/01/26,103.00
Birthday - 1,15cm,Round,None,Fondant,Chocolate,Nude,Happy Birthday,200.00,2023/08/31,118.00
Birthday - 1,15cm,Round,Princess,Fondant,Chocolate,Pink,Happy 1st Birthday,200.00,2023/09/17,118.00
Birthday - 1,15cm,Round,Princess,Fondant,Lemon,Pink,Happy 1st Birthday,200.00,2023/09/30,142.00
Birthday - 1,2 step,1 Square 1 Round,None,Fondant,Chocolate,Blue,One,600.00,2023/03/15,450.00
Birthday - 1,20 cm,Round,None,Naked,Chocolate,Blue,Piglet,250.00,2023/03/20,199.00
Birthday - 1,20cm,Round,Mickey Mouse,Fondant,Red Velvet,Red,Mickey Mouse,250.00,2023/03/03,166.00
Birthday - 1,20cm,Square,None,Fondant,Vanilla,Pink,One,250.00,2023/04/16,151.00
Birthday - 1,20cm,Square,Sofia,Fondant,Chocolate,Purple,One,250.00,2023/05/05,158.00
Birthday - 1,20cm,Round,Princess,Fondant,Red Velvet,Pink,Happy 1st Birthday,250.00,2023/09/02,170.00
Birthday - 1,20cm,character,Princess,Fondant,Chocolate,Pink,Rainbow,250.00,2023/09/11,175.00
Birthday - 1,20cm,Round,Sofia,Fondant,Chocolate,Purple,Happy 1st Birthday,250.00,2023/10/05,198.00
Birthday - 1,25cm,character,Mickey Mouse,Fondant,Chocolate,Red,Mickey Mouse,300.00,2023/06/25,206.00
Birthday - 1,25cm,character,Sofia,Fondant,Vanilla,Purple,One,300.00,2023/09/11,242.00
Birthday - 1,25cm,character,None,Fondant,Vanilla,Blue,One,300.00,2023/12/28,183.00
Birthday - 1,30 cm,Round,Spiderman,Fondant,Vanilla,Blue,Happy 1st Birthday,350.00,2023/03/29,226.00
Birthday - 1,30cm,Square,None,Fondant,Chocolate,Yellow,One,350.00,2023/08/02,245.00
Birthday - 1,30cm,Round,Sofia,Fondant,Chocolate,Purple,Happy 1st Birthday,350.00,2023/11/16,263.00
Baby Shower,20cm,Round,Drip Cake,Naked,Chocolate,Pink,Baby Shoes,250.00,2023/07/22,161.00
Baby Shower,20cm,character,Drip Cake,Fondant,Lemon,Blue,Tummy,250.00,2023/12/16,164.00
Baby Shower,25cm,Round,None,Naked,Carrot,Nude,Tummy,300.00,2023/07/30,234.00
Baby Shower,25cm,Round,None,Naked,Chocolate,Blue,Oh Baby,300.00,2023/08/12,216.00
Baby Shower,25cm,Square,Drip Cake,Fondant,Carrot,Pink,Baby Feet,300.00,2023/08/26,241.00
Baby Shower,25cm,Round,Drip Cake,Fondant,Chocolate,Blue,Oh Baby,300.00,2023/12/08,217.00
Baby Shower,30cm,character,Drip Cake,Fondant,Carrot,Pink,Oh Baby,350.00,2023/07/29,270.00
Bridal Shower,15cm,Round,None,Fondant,Red Velvet,Nude,Congratulations,200.00,2023/12/09,120.00
Birthday - 32,2 step,Round,None,Fondant,1 Vanilla 1 Chocolate,Black,Happy Birthday,600.00,2023/02/07,475.00
Birthday - 5,20cm,Round,Princess,Fondant,Vanilla,Pink,Happy Birthday,250.00,2023/01/31,174.00
Birthday - 3,20 cm,Square,Spiderman,Fondant,Chocolate,Red,Happy Birthday,250.00,2023/03/10,183.00
Birthday - 5,20 cm,Round,Snow White,Fondant,Chocolate,Blue,Happy Birthday,250.00,2023/03/16,165.00
Birthday - 2,20cm,Round,Princess Elsa,Fondant,Chocolate,Blue,Happy Birthday,250.00,2023/04/04,184.00
Birthday - 5,20cm,Round,None,Naked,Chocolate,Blue,Happy Birthday,250.00,2023/04/07,194.00
Birthday - 40,20cm,Round,None,Fondant,Vanilla,Gold,Happy Birthday,250.00,2023/04/09,182.00
Birthday - 5,20cm,Round,Red Ranger,Fondant,Chocolate,Red,Happy Birthday,250.00,2023/05/20,175.00
Birthday - 35,20cm,Round,None,Fondant,Vanilla,Gold,Happy Birthday,250.00,2023/07/09,172.00
Birthday - 5,20cm,Round,Spiderman,Fondant,Red Velvet,Blue,Happy Birthday,250.00,2023/08/14,195.00
Birthday - 28,20cm,Round,None,Fondant,Red Velvet,Black,Happy Birthday,250.00,2023/09/25,176.00
Birthday - 5,20cm,Round,Princess,Fondant,Chocolate,Pink,Happy Birthday,250.00,2023/10/13,156.00
Birthday - 12,20cm,Round,Princess,Fondant,Red Velvet,Pink,Happy Birthday,250.00,2023/10/23,164.00
Birthday - 9,25 cm,Round,Princess Elsa,Fondant,Vanilla,Blue,Happy Birthday,300.00,2023/03/10,221.00
Birthday - 10,25cm,character,Spiderman,Fondant,Chocolate,Blue,Happy Birthday,300.00,2023/05/16,250.00
Birthday - 4,25cm,Square,Spiderman,Fondant,Vanilla,Blue,Happy Birthday,300.00,2023/08/28,208.00
Birthday - 4,25cm,Square,None,Naked,Carrot,Yellow,Happy Birthday,300.00,2023/09/16,205.00
Birthday - 8,25cm,Round,Belle,Fondant,Chocolate,Yellow,Happy Birthday,300.00,2023/09/21,250.00
Birthday - 3,25cm,character,Spiderman,Fondant,Vanilla,Red,Happy Birthday,300.00,2023/10/18,235.00
Birthday - 40,25cm,Round,None,Fondant,Carrot,Gold,Happy Birthday,300.00,2023/11/05,223.00
Birthday - 25,25cm,Round,None,Naked,Vanilla,Gold,Happy Birthday,300.00,2023/11/11,205.00
Birthday - 30,25cm,Round,None,Fondant,Carrot,Gold,Happy Birthday,300.00,2023/12/03,236.00
Graduation,25cm,Round,None,Fondant,Red Velvet,White,Books,300.00,2023/12/07,244.00
Graduation,25cm,Round,None,Fondant,Chocolate,White,Pencils,300.00,2023/12/07,210.00
Graduation,25cm,Square,None,Fondant,Vanilla,White,Books,300.00,2023/12/08,200.00
Birthday - 40,25cm,Round,None,Naked,Carrot,Nude,Happy Birthday,300.00,2023/12/16,208.00
Birthday - 30,25cm,Round,None,Naked,Lemon,Nude,Happy Birthday,300.00,2023/12/24,226.00
Birthday - 21,2steps,Round,None,Naked,Red Velvet,Nude,Happy Birthday,600.00,2023/06/16,465.00
Birthday - 33,2steps,Round,None,Naked,Lemon,Nude,Happy Birthday,600.00,2023/09/05,455.00
Birthday - 16,2steps,Round,None,Buttercream,Vanilla,Gold,Happy Birthday,600.00,2023/09/17,471.00
Birthday - 30,2steps,Round,None,Naked,Carrot,Nude,Happy Birthday,600.00,2023/10/31,447.00
Birthday - 50,3 step,Round,None,Buttercream,1 Red Velvet 1 Carrot 1 Lemon,Nude,Happy Birthday,700.00,2023/03/16,588.00
Birthday - 35,3 step,Round,None,Naked,Lemon,White,Happy Birthday,700.00,2023/04/08,552.00
Birthday - 13,30 cm,Square,Princess,Fondant,Vanilla,Pink,Happy Birthday,350.00,2023/03/16,295.00
Birthday - 5,30cm,Square,Princess,Fondant,Red Velvet,Pink,Happy Birthday,350.00,2023/05/06,298.00
Birthday - 50,30cm,Square,None,Fondant,Lemon,Gold,Happy Birthday,350.00,2023/07/21,285.00
Birthday - 40,30cm,Round,None,Buttercream,Carrot,White,Happy Birthday,350.00,2023/08/27,295.00
Birthday - 5,30cm,character,Froggie,Fondant,Vanilla,Green,Happy Birthday,350.00,2023/08/29,251.00
Birthday - 40,30cm,Square,None,Naked,Lemon,White,Happy Birthday,350.00,2023/09/04,261.00
Birthday - 5,30cm,character,Princess Elsa,Fondant,Carrot,Blue,Happy Birthday,350.00,2023/09/12,285.00
Birthday - 5,30cm,Square,Princess,Fondant,Chocolate,Pink,Happy Birthday,350.00,2023/09/27,264.00
Graduation,30cm,Square,None,Naked,Vanilla,Blue,Congratulations,350.00,2023/11/30,273.00
Graduation,30cm,Square,None,Fondant,Vanilla,White,Congratulations,350.00,2023/12/02,263.00
Graduation,30cm,character,Book,Fondant,Chocolate,White,Hat,350.00,2023/12/02,267.00
Graduation,30cm,character,Book,Fondant,Red Velvet,Brown,Hat,350.00,2023/12/07,253.00
Birthday - 50,3steps,1 Square 2 Round,None,Buttercream,Vanilla,Nude,Happy Birthday,700.00,2023/07/31,590.00
Birthday - 50,50cm,Square,None,Buttercream,Chocolate,White,Happy Birthday,500.00,2023/09/07,418.00
Birthday - 80,50cm,Square,None,Buttercream,Vanilla,Red,Happy Birthday,500.00,2023/09/10,423.00
Birthday - 80,50cm,Square,None,Buttercream,Lemon,White,Happy Birthday,500.00,2023/09/19,405.00
House Warming,Bunch,Bunch,None,Buttercream,Lemon Carrot,Red,None,400.00,2023/03/25,350.00
Wedding,5step,Round,None,Fondant,2Lemon 2 Carrot 1 Vanilla,White,Couple,2000.00,2023/04/08,1004.00
Wedding,5step,Round,None,Fondant,Vanilla,White,Couple,2000.00,2023/09/23,1377.00
Wedding,5step,Round,None,Fondant,2 Lemon 3 Vanilla,White,Couple,2000.00,2023/09/23,1484.00
Wedding,5step,Round,None,Fondant,Vanilla,White,Couple,2000.00,2023/09/23,1179.00
Wedding,5step,Round,None,Fondant,2Red velvet 2 Carrot 1 Vanilla,White,Couple,2000.00,2023/09/24,1379.00
Wedding,5step,Round,None,Fondant,2 Lemon 3 Vanilla,White,Couple,2000.00,2023/12/23,1337.00
Wedding,5step,Round,None,Fondant,2Chocolate 1 Red Velvet 2 Carrot,White,Couple,2000.00,2023/12/30,1413.00
